id,name,balance
0,0,1021
1,1,1050
2,2,990
3,3,951
4,4,971
5,5,990
6,6,1002
7,7,972
8,8,978
9,9,1000
10,10,965
11,11,1058
12,12,958
13,13,965
14,14,1016
15,15,943
16,16,976
17,17,980
18,18,1012
19,19,1069
20,20,993
21,21,986
22,22,974
23,23,959
24,24,972
25,25,1038
26,26,988
27,27,891
28,28,1026
29,29,1018
30,30,1029
31,31,988
32,32,1028
33,33,961
34,34,978
35,35,986
36,36,1003
37,37,1004
38,38,1016
39,39,983
40,40,951
41,41,991
42,42,1023
43,43,1018
44,44,1043
45,45,1037
46,46,1006
47,47,1006
48,48,974
49,49,1021
50,50,1013
51,51,948
52,52,956
53,53,996
54,54,997
55,55,998
56,56,1028
57,57,973
58,58,1009
59,59,1003
60,60,947
61,61,1005
62,62,931
63,63,997
64,64,1083
65,65,1042
66,66,953
67,67,955
68,68,1038
69,69,1037
70,70,978
71,71,991
72,72,1032
73,73,946
74,74,1010
75,75,983
76,76,986
77,77,1016
78,78,1002
79,79,961
80,80,980
81,81,975
82,82,983
83,83,1012
84,84,1009
85,85,949
86,86,1012
87,87,1049
88,88,1012
89,89,1009
90,90,1020
91,91,996
92,92,986
93,93,961
94,94,1007
95,95,1017
96,96,1005
97,97,979
98,98,997
99,99,1086
100,100,1047
101,101,1003
102,102,1005
103,103,1017
104,104,965
105,105,1048
106,106,1061
107,107,983
108,108,1016
109,109,1000
110,110,991
111,111,932
112,112,943
113,113,1039
114,114,1017
115,115,998
116,116,1046
117,117,1007
118,118,950
119,119,963
120,120,1004
121,121,998
122,122,964
123,123,1016
124,124,1004
125,125,971
126,126,952
127,127,952
128,128,1026
129,129,987
130,130,952
131,131,1042
132,132,1029
133,133,980
134,134,954
135,135,1026
136,136,996
137,137,974
138,138,1012
139,139,1014
140,140,925
141,141,1025
142,142,985
143,143,997
144,144,994
145,145,1026
146,146,966
147,147,1010
148,148,999
149,149,1008
150,150,981
151,151,956
152,152,1005
153,153,991
154,154,1023
155,155,1000
156,156,980
157,157,978
158,158,1040
159,159,1014
160,160,1055
161,161,1015
162,162,982
163,163,1044
164,164,951
165,165,1045
166,166,1074
167,167,997
168,168,1016
169,169,1010
170,170,936
171,171,943
172,172,1041
173,173,1074
174,174,993
175,175,993
176,176,1023
177,177,1021
178,178,1015
179,179,1054
180,180,1044
181,181,1036
182,182,1037
183,183,983
184,184,974
185,185,972
186,186,1026
187,187,1000
188,188,950
189,189,938
190,190,970
191,191,992
192,192,992
193,193,1018
194,194,928
195,195,934
196,196,995
197,197,966
198,198,1062
199,199,1039
200,200,980
201,201,981
202,202,969
203,203,926
204,204,976
205,205,1009
206,206,1019
207,207,985
208,208,1060
209,209,1011
210,210,997
211,211,952
212,212,996
213,213,972
214,214,1011
215,215,1006
216,216,1032
217,217,1005
218,218,973
219,219,989
220,220,1002
221,221,1003
222,222,1017
223,223,1039
224,224,983
225,225,976
226,226,999
227,227,989
228,228,963
229,229,1004
230,230,1035
231,231,950
232,232,993
233,233,939
234,234,1021
235,235,1011
236,236,1004
237,237,935
238,238,987
239,239,1013
240,240,961
241,241,1025
242,242,1021
243,243,1030
244,244,1006
245,245,968
246,246,989
247,247,991
248,248,993
249,249,1101
250,250,977
251,251,1009
252,252,956
253,253,946
254,254,1034
255,255,988
256,256,1004
257,257,1021
258,258,995
259,259,1030
260,260,1009
261,261,991
262,262,993
263,263,1015
264,264,1002
265,265,1017
266,266,1004
267,267,977
268,268,922
269,269,1024
270,270,1092
271,271,1041
272,272,963
273,273,989
274,274,980
275,275,938
276,276,998
277,277,989
278,278,965
279,279,1009
280,280,996
281,281,945
282,282,970
283,283,932
284,284,977
285,285,973
286,286,993
287,287,1023
288,288,970
289,289,992
290,290,1022
291,291,979
292,292,1065
293,293,944
294,294,1001
295,295,982
296,296,994
297,297,1035
298,298,996
299,299,1082
300,300,1036
301,301,1025
302,302,1013
303,303,969
304,304,974
305,305,955
306,306,994
307,307,978
308,308,1046
309,309,973
310,310,1010
311,311,1066
312,312,1002
313,313,981
314,314,971
315,315,980
316,316,950
317,317,1033
318,318,1013
319,319,1029
320,320,973
321,321,1001
322,322,1045
323,323,1007
324,324,1003
325,325,965
326,326,1023
327,327,995
328,328,976
329,329,1042
330,330,996
331,331,986
332,332,969
333,333,977
334,334,1001
335,335,957
336,336,973
337,337,995
338,338,1041
339,339,1031
340,340,1014
341,341,991
342,342,999
343,343,999
344,344,1096
345,345,1043
346,346,1045
347,347,968
348,348,978
349,349,1021
350,350,1026
351,351,1023
