sender,receiver,amount
580,163,3
480,988,3
432,610,0
349,426,6
58,695,0
858,695,6
299,988,3
557,842,7
139,419,0
265,401,0
634,165,5
484,741,1
744,807,7
59,151,7
99,697,4
476,765,7
431,788,6
377,870,2
957,563,3
375,164,3
210,39,9
848,646,0
543,795,4
614,985,7
792,211,7
116,144,6
880,864,7
338,561,6
884,470,7
333,780,6
865,754,4
198,456,0
616,82,4
281,66,9
431,291,5
442,22,3
966,967,3
262,245,4
208,56,3
556,993,7
279,194,9
54,556,8
942,650,2
76,292,8
142,810,0
482,548,5
157,349,4
698,517,8
524,420,2
384,198,6
605,599,9
791,940,7
259,716,7
107,491,2
613,165,7
876,619,1
223,707,6
388,687,5
150,495,5
665,928,9
524,103,8
749,123,9
464,340,2
289,429,5
893,58,1
634,816,7
280,198,7
663,65,7
636,70,5
869,616,1
588,610,2
354,650,5
673,620,9
163,273,8
262,483,9
990,641,7
817,555,7
320,699,7
636,436,8
305,539,6
176,817,5
722,854,3
994,46,0
345,629,9
769,785,4
412,296,5
772,502,0
809,404,7
696,681,1
379,957,0
132,876,0
448,898,8
414,825,9
328,438,9
576,283,5
157,309,6
158,145,4
623,765,0
188,882,5
890,865,8
762,970,4
77,855,4
495,766,7
680,487,9
843,704,8
452,806,2
726,680,8
884,362,9
49,281,6
862,67,9
779,752,0
212,550,7
119,912,9
259,901,1
463,430,3
661,261,9
198,590,6
23,958,3
195,820,6
750,156,6
367,175,0
108,906,2
220,29,8
245,470,8
166,598,9
479,323,0
31,826,3
639,248,0
984,30,8
714,466,1
894,919,1
895,210,3
959,226,4
195,227,7
403,221,5
524,330,8
975,8,6
211,581,2
751,327,6
816,226,3
896,760,0
833,437,3
501,950,3
266,879,9
434,96,1
322,11,5
538,422,7
839,928,9
87,31,8
110,821,8
660,567,4
733,135,1
340,200,6
152,815,3
154,28,7
415,475,7
35,256,5
635,589,1
937,989,1
923,129,1
898,756,9
11,896,8
975,489,4
455,416,3
861,640,4
416,466,0
858,396,7
417,634,5
771,273,2
327,41,6
292,158,7
781,941,6
200,173,9
908,533,8
158,771,9
916,883,5
435,586,2
642,938,8
398,65,7
839,176,0
841,623,9
872,655,0
53,393,3
290,484,0
85,974,6
690,999,0
636,908,2
716,614,3
259,86,4
885,625,5
18,488,6
501,420,7
277,770,6
52,357,6
78,417,2
300,303,4
368,628,7
168,720,2
64,942,1
776,303,8
98,853,3
396,399,5
180,4,3
881,549,8
982,558,5
55,228,6
948,118,2
847,717,5
861,930,7
969,232,0
625,788,6
22,754,7
305,421,5
982,267,5
834,395,6
431,644,7
626,378,3
711,840,0
497,254,0
362,697,1
639,831,4
813,877,4
497,619,6
873,215,8
152,290,3
985,300,9
512,485,7
398,118,6
22,56,9
113,758,3
546,316,3
212,516,8
321,702,7
793,977,6
556,701,3
554,859,3
381,558,5
1,496,8
56,533,6
795,278,9
881,635,9
737,585,0
755,470,0
203,764,8
454,992,2
635,461,8
467,298,5
463,765,6
404,341,0
245,514,4
497,989,5
690,888,2
687,471,7
989,69,5
989,713,4
39,82,9
180,346,6
325,534,4
231,48,5
742,866,4
394,178,9
194,460,0
591,467,0
289,123,8
356,285,8
263,176,4
561,206,3
93,72,2
642,789,1
679,530,8
497,432,8
852,285,0
805,786,0
62,664,2
127,560,6
865,387,0
393,18,7
981,748,1
875,457,7
346,585,5
323,876,3
405,769,6
115,405,6
112,905,1
525,641,2
106,419,0
352,489,1
842,101,4
954,322,4
76,447,4
868,64,5
647,457,1
943,75,7
29,528,2
606,590,7
240,690,1
468,495,9
35,202,8
463,198,0
308,838,8
35,380,0
491,835,8
189,64,2
648,382,9
953,568,7
580,643,8
980,256,9
956,386,5
133,472,5
345,479,4
820,94,3
983,775,0
59,126,4
626,138,2
955,413,3
266,999,6
834,944,7
52,217,8
265,71,9
62,754,7
926,892,8
795,821,8
951,417,4
348,293,8
189,679,9
80,925,9
617,359,2
969,362,0
522,650,6
668,577,2
512,579,2
832,466,9
557,398,7
684,520,5
974,347,3
57,305,4
665,260,7
592,204,8
877,390,3
504,608,3
540,857,3
381,836,1
92,532,4
384,323,2
37,844,8
954,374,8
821,610,9
368,619,9
964,195,9
522,632,4
621,145,4
511,494,3
353,849,3
915,147,8
444,344,0
462,335,5
820,400,8
269,84,1
866,610,2
757,770,9
441,999,7
282,752,3
339,240,6
264,915,4
723,561,3
370,865,0
32,268,2
592,555,2
978,360,5
539,711,2
876,257,4
617,267,1
274,609,0
435,908,7
497,356,8
954,203,2
473,898,4
591,343,6
571,124,4
676,68,5
62,215,2
508,980,4
386,21,9
790,636,6
21,159,5
423,555,1
17,581,9
781,496,3
20,899,8
396,836,2
802,772,0
425,133,3
503,39,1
258,465,6
787,518,3
79,436,8
98,426,6
396,896,8
490,695,5
602,779,4
542,199,8
167,786,7
167,217,0
751,65,7
214,9,2
694,333,8
407,879,6
253,350,5
167,971,5
217,488,0
644,700,6
993,786,4
102,28,2
830,919,5
186,367,0
210,721,9
788,555,1
139,966,7
226,850,1
229,339,5
150,585,1
523,57,9
384,683,9
696,348,7
115,440,7
602,964,2
426,576,4
131,95,5
522,849,6
570,89,8
801,497,1
650,415,1
948,117,5
127,629,5
396,361,8
827,988,5
771,444,7
909,747,5
191,236,6
138,929,4
875,286,1
612,993,1
589,213,9
362,380,3
288,467,8
143,499,8
150,404,9
308,594,8
5,906,7
718,507,6
126,632,9
148,418,8
110,721,2
212,848,2
476,94,8
986,93,6
406,982,3
444,503,3
872,470,2
118,134,2
340,495,8
477,645,2
669,193,3
520,5,4
187,325,9
347,160,1
936,160,5
59,510,8
389,798,7
941,431,1
211,513,3
310,867,4
139,707,3
575,861,9
439,812,1
296,118,6
330,149,6
635,60,2
961,428,6
121,105,0
590,557,4
309,273,0
96,154,3
590,666,8
30,54,0
745,979,2
899,593,0
984,673,4
195,988,7
288,625,8
478,758,5
584,852,6
865,560,3
483,673,0
979,793,0
231,92,7
213,902,3
256,882,5
54,578,1
572,249,3
339,974,0
903,757,7
424,673,3
702,329,9
466,669,9
366,522,2
481,650,7
673,907,1
427,933,0
224,168,7
481,152,2
864,909,5
632,846,1
95,414,8
190,655,7
342,998,7
793,627,0
118,990,8
655,543,0
414,279,2
773,451,9
176,867,8
253,739,2
314,911,4
129,514,1
119,437,7
930,499,1
233,83,4
741,800,1
490,636,9
377,806,0
651,366,4
247,587,2
362,781,9
818,411,9
982,138,5
855,554,1
648,295,1
661,599,5
536,449,0
937,510,8
63,347,2
397,650,9
731,736,4
925,509,7
921,574,9
22,927,7
528,987,6
66,817,7
11,153,8
202,880,9
262,240,1
556,629,5
742,272,4
296,921,1
617,206,6
885,805,6
552,62,4
212,766,7
151,3,7
141,737,2
765,908,5
104,617,3
141,583,3
778,963,5
529,247,5
84,145,8
367,675,4
263,398,1
197,46,0
434,872,3
626,240,9
365,540,3
951,137,3
692,362,4
690,336,3
743,398,8
959,143,1
576,798,2
236,31,1
759,798,6
227,644,3
767,214,2
708,600,1
222,551,4
950,477,6
205,338,6
782,18,2
668,51,4
277,962,5
760,149,4
997,779,8
360,140,0
759,282,5
405,915,1
595,628,8
925,366,9
157,183,4
654,892,0
678,507,5
60,288,1
106,941,0
899,670,2
219,194,7
366,882,6
4,79,0
723,74,2
865,925,0
779,663,3
384,261,5
343,907,5
126,203,1
235,874,9
550,378,1
471,993,1
471,384,7
725,201,2
254,192,7
777,301,7
94,334,1
137,204,2
130,527,5
509,216,8
526,763,4
670,366,6
293,353,7
591,758,1
