sender,receiver,amount
729,803,3
995,157,7
527,5,1
3,438,8
404,223,6
400,344,8
322,251,2
139,971,0
81,769,2
893,693,4
418,643,1
404,139,9
675,837,0
678,981,2
340,519,4
728,222,8
12,861,1
190,421,1
543,509,5
628,55,3
987,556,7
390,795,9
997,375,2
771,743,0
379,683,8
240,409,5
799,832,5
910,729,1
166,468,9
342,743,5
252,213,8
996,424,2
307,201,0
314,417,3
682,677,1
451,2,5
73,47,7
294,377,2
919,95,1
734,927,4
39,506,1
591,415,7
678,397,9
475,403,4
127,198,8
363,706,9
75,494,4
779,657,4
767,214,6
44,974,8
459,903,6
786,178,1
9,250,5
780,434,6
733,781,5
37,248,4
953,371,2
991,992,1
242,615,4
381,88,2
25,631,3
517,490,3
795,240,6
912,210,9
931,286,4
606,868,7
630,206,6
442,860,8
522,239,2
655,266,0
226,862,9
884,202,6
815,892,7
248,418,1
242,212,1
680,775,3
582,355,3
514,495,2
664,547,0
517,285,0
388,411,5
209,793,8
28,750,1
937,892,7
955,974,2
546,970,6
22,744,8
436,962,7
825,467,6
350,52,8
244,825,7
39,508,0
288,832,9
455,988,1
674,25,5
382,810,6
833,358,2
87,994,2
842,116,4
908,18,6
563,793,1
408,914,0
306,937,6
328,823,5
69,399,0
651,89,7
978,263,0
249,884,1
349,847,4
902,945,8
355,616,1
388,982,0
403,498,0
849,885,1
205,876,0
386,118,3
962,662,0
976,222,4
771,242,5
698,367,7
85,956,8
99,766,8
286,343,8
78,858,4
38,822,3
524,123,8
841,964,6
578,540,2
157,929,7
78,851,9
465,497,2
4,599,5
80,140,3
637,186,5
626,366,5
415,176,4
338,193,6
286,263,0
635,469,3
913,596,6
626,643,4
877,164,4
407,464,1
998,265,5
769,96,2
227,569,7
24,230,3
55,585,5
260,294,8
56,599,0
402,307,6
17,390,9
590,831,2
32,640,4
744,435,6
404,728,1
425,542,1
949,495,2
436,171,6
504,389,5
117,4,4
976,494,7
909,101,0
170,822,3
290,942,8
211,122,7
610,157,1
774,275,2
314,653,2
83,32,9
732,306,7
79,36,7
156,219,0
734,434,8
102,752,4
595,670,4
964,404,7
679,703,7
391,358,0
21,774,8
266,548,5
623,981,5
7,251,7
14,355,4
508,506,8
806,646,8
526,248,9
962,156,3
169,834,9
584,237,1
602,746,4
472,368,0
670,237,0
229,442,1
314,916,8
897,309,0
232,626,5
664,649,0
7,338,4
957,389,9
683,582,9
601,971,6
617,513,2
939,442,7
256,247,6
517,802,0
314,120,5
322,864,4
662,828,6
372,499,9
822,967,2
291,267,8
285,995,6
39,207,1
501,174,9
862,567,3
535,272,1
260,62,8
652,432,2
429,936,7
863,187,9
822,98,9
607,244,4
976,28,7
268,442,7
240,610,3
390,808,2
917,818,4
570,52,4
47,408,8
130,568,7
208,263,5
122,637,7
321,41,3
798,50,4
452,217,7
59,420,5
261,73,9
776,227,4
836,793,3
531,696,0
687,626,5
661,681,7
16,140,4
436,426,1
5,662,2
603,736,7
759,400,0
630,164,8
763,921,5
711,930,7
497,832,8
48,365,1
694,299,5
704,21,4
915,93,7
978,166,1
600,402,6
746,734,8
136,74,2
494,442,1
631,909,1
336,766,9
325,613,0
269,184,3
907,108,7
194,239,4
501,426,4
398,298,5
174,858,9
785,577,6
807,98,9
437,613,8
123,201,1
40,339,8
642,876,2
94,367,8
233,848,5
457,320,0
736,910,2
167,266,4
132,42,2
523,47,6
785,495,7
486,865,6
50,579,6
854,984,7
579,749,8
